PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jacob Evans,GSW,21,10,8,2,60,7,3,15,20.0,1,4,25.0,0,0,0.0,1,6,7,9,3,1,0,8,28.9,0,0,-12
Abdel Nader,OKC,25,6,5,1,11,6,3,6,50.0,0,1,0.0,0,0,0.0,1,2,3,0,2,2,1,1,16.6,0,0,-15
Salah Mejri,DAL,32,3,2,1,12,6,2,3,66.7,0,0,0.0,2,2,100,1,3,4,0,1,0,0,3,9.8,0,0,13
DeVaughn Akoon-Purcell,DEN,25,4,4,0,13,5,2,6,33.3,0,3,0.0,1,2,50.0,1,2,3,2,0,1,0,3,14.6,0,0,-3
Kenrich Williams,NOP,23,5,3,2,27,5,2,5,40.0,1,2,50.0,0,0,0.0,0,5,5,0,1,0,0,7,10.0,0,0,14
Luol Deng,MIN,33,2,0,2,19,5,2,9,22.2,0,4,0.0,1,2,50.0,5,5,10,0,1,0,1,0,19.0,0,0,2
Robert Williams III,BOS,21,5,3,2,15,5,2,2,100,0,0,0.0,1,2,50.0,3,1,4,1,0,0,3,4,20.3,0,0,-9
Dragan Bender,PHX,21,6,1,5,26,4,2,8,25.0,0,4,0.0,0,0,0.0,2,4,6,2,3,0,0,3,11.2,0,0,-7
Drew Eubanks,SAS,21,2,0,2,6,4,1,2,50.0,0,0,0.0,2,2,100,0,0,0,0,0,0,0,0,4.0,0,0,14
Jared Terrell,MIN,23,1,0,1,21,4,1,8,12.5,1,2,50.0,1,2,50.0,0,1,1,1,2,2,1,2,13.7,0,0,-10
Keita Bates-Diop,MIN,22,2,0,2,18,4,2,8,25.0,0,4,0.0,0,0,0.0,0,3,3,0,0,0,1,1,10.6,0,0,-4
Sindarius Thornwell,LAC,24,4,4,0,37,4,1,3,33.3,0,1,0.0,2,2,100,0,8,8,2,2,0,1,11,17.6,0,0,11
Duncan Robinson,MIA,24,3,2,1,17,3,1,3,33.3,1,3,33.3,0,0,0.0,0,5,5,0,0,1,0,0,12.0,0,0,0
Jaylen Adams,ATL,22,4,1,3,13,3,1,4,25.0,1,4,25.0,0,0,0.0,0,2,2,1,0,0,1,0,9.9,0,0,9
Khyri Thomas,DET,22,1,1,0,4,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,0,2.0,0,0,-7
Thabo Sefolosha,UTA,34,4,0,4,32,3,1,4,25.0,0,3,0.0,1,2,50.0,1,11,12,3,1,1,0,1,23.9,0,0,-15
Vincent Edwards,HOU,22,1,1,0,4,3,1,2,50.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,0,4.2,0,0,-5
Alize Johnson,IND,22,3,2,1,9,2,1,2,50.0,0,0,0.0,0,2,0.0,0,4,4,0,0,0,0,3,6.8,0,0,0
Edmond Sumner,IND,22,5,4,1,20,2,1,4,25.0,0,1,0.0,0,2,0.0,1,0,1,1,1,1,0,3,6.7,0,0,-13
Jordan McRae,WAS,27,4,1,3,22,2,1,7,14.3,0,2,0.0,0,0,0.0,0,4,4,2,0,0,1,0,12.8,0,0,-12
Marcus Derrickson,GSW,22,2,1,1,8,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,3,2.2,0,0,-6
Theo Pinson,BKN,23,2,1,1,10,2,0,3,0.0,0,2,0.0,2,2,100,0,1,1,3,0,0,0,0,7.7,0,0,-6
Udonis Haslem,MIA,38,2,2,0,6,2,1,4,25.0,0,2,0.0,0,0,0.0,0,1,1,0,2,0,0,2,1.2,0,0,-6
Wade Baldwin IV,POR,22,5,4,1,23,2,1,7,14.3,0,3,0.0,0,0,0.0,1,3,4,3,4,0,0,2,7.3,0,0,-6
Yuta Watanabe,MEM,24,2,2,0,12,2,0,1,0.0,0,1,0.0,2,2,100,0,4,4,0,1,0,1,0,8.8,0,0,-1
Zhou Qi,HOU,22,1,0,1,1,2,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2.0,0,0,-2
Daniel Hamilton,ATL,23,1,0,1,8,1,0,2,0.0,0,1,0.0,1,2,50.0,0,0,0,0,1,0,0,0,0.0,0,0,-11
Daryl Macon,DAL,22,1,0,1,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,3
Ike Anigbogu,IND,20,1,1,0,3,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,3.2,0,0,-6
Jaylen Morris,MIL,23,1,1,0,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0.2,0,0,-3
John Holland,CLE,30,1,0,1,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
Luke Kornet,NYK,23,4,1,3,13,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,1,0,0,0,2.0,0,0,-5
Melvin Frazier Jr.,ORL,22,2,1,1,11,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,-1.0,0,0,-8
Moritz Wagner,LAL,21,1,0,1,2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,2
Naz Mitrou-Long,UTA,25,1,0,1,4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0,0,11
Ray Spalding,DAL,21,1,0,1,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,-2
Thomas Welsh,DEN,22,3,3,0,7,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,1,5.4,0,0,-7
Treveon Graham,BKN,25,2,1,1,27,0,0,3,0.0,0,2,0.0,0,0,0.0,1,3,4,1,2,1,0,5,7.3,0,0,7
Tyler Ulis,CHI,22,1,0,1,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
Zach Lofton,DET,26,1,1,0,4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,0,2.0,0,0,0
